# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	699.3220
1,	701.3220
3,	702.0533
1,	703.3220
1,	705.3220
2,	707.3220
1,	709.3220
1,	711.3220
2,	713.3220
4,	713.6965
1,	715.3220
1,	717.3220
1,	719.3220
1,	721.3220
1,	723.3220
1,	725.3220
3,	725.9882
1,	727.3220
1,	729.3220
1,	731.3220
1,	733.3220
2,	735.3220
1,	737.3220
4,	737.5370
1,	739.3220
1,	741.3215
1,	743.3220
1,	745.2772
1,	747.2772
1,	749.2772
1,	751.2772
3,	752.3076
1,	753.2771
1,	755.2770
1,	757.2770
1,	759.2770
1,	761.2770
1,	763.2770
1,	765.2485
1,	767.2339
1,	769.2339
1,	771.2339
4,	771.7801
1,	773.2339
2,	775.2339
1,	777.1320
1,	779.1320
1,	781.1320
1,	783.1320
3,	784.1316
1,	785.1320
1,	787.1320
1,	789.1320
1,	791.1320
1,	793.1320
1,	795.1320
1,	797.1320
1,	799.1320
1,	801.1320
1,	803.1320
4,	803.5133
1,	805.1282
1,	807.1282
1,	809.1282
1,	811.1282
1,	813.1282
3,	814.5186
1,	815.1282
1,	817.1282
1,	819.1282
1,	821.1282
2,	823.1282
1,	825.1282
2,	827.1282
1,	829.1282
4,	831.0260
1,	831.1282
1,	833.1282
2,	835.1282
1,	837.1282
1,	839.1282
3,	840.9565
1,	841.1282
1,	843.1282
1,	845.1282
1,	847.1282
1,	849.1282
1,	851.1282
4,	852.2913
1,	853.1282
1,	855.1282
1,	857.1282
1,	859.1282
1,	861.1282
1,	863.1282
3,	864.6661
1,	865.1282
1,	867.1125
1,	869.1125
1,	871.1125
1,	873.1125
1,	875.1125
1,	877.1125
4,	878.9287
1,	879.1125
1,	881.1125
1,	883.1125
1,	885.1116
1,	887.1125
3,	888.2612
1,	889.1125
2,	891.1125
1,	893.1125
2,	895.1125
1,	897.1125
1,	899.1125
4,	900.1900
1,	901.1125
1,	903.1125
1,	905.1125
2,	907.1125
1,	909.1125
3,	909.4669
2,	911.1125
1,	913.1125
1,	915.1125
1,	917.1046
1,	919.1046
1,	921.1046
1,	923.0991
4,	924.5676
1,	925.0994
1,	927.0717
1,	929.0717
2,	931.0717
1,	933.0717
1,	935.0717
3,	936.7974
1,	937.0715
1,	939.0715
1,	941.0715
1,	943.0715
1,	945.0715
1,	947.0715
1,	949.0715
1,	951.0715
4,	952.8566
1,	953.0715
1,	955.0715
1,	957.0715
1,	959.0715
1,	961.0715
1,	963.0715
3,	964.7801
2,	965.0715
1,	967.0715
1,	969.0585
1,	971.0585
1,	973.0585
2,	975.0585
1,	977.0585
1,	979.0585
4,	979.6937
1,	981.0585
1,	983.0585
1,	985.0585
2,	987.0356
3,	988.2070
1,	989.0342
1,	991.0341
1,	993.0341
1,	995.0341
1,	997.0341
4,	997.2479
1,	999.0341
1,	1001.0341
1,	1003.0341
1,	1005.0341
3,	1007.0035
1,	1007.0341
1,	1009.0341
1,	1011.0341
1,	1013.0341
1,	1015.0341
1,	1017.0341
1,	1019.0341
1,	1021.0341
4,	1022.5280
1,	1023.0341
1,	1025.0341
1,	1027.0341
1,	1029.0341
1,	1031.0341
3,	1031.4365
1,	1033.0341
2,	1035.0341
2,	1037.0341
1,	1039.0086
2,	1041.0086
1,	1043.0077
1,	1045.0077
1,	1047.0077
1,	1048.9823
4,	1050.0941
1,	1050.9823
1,	1052.9823
1,	1054.9823
1,	1056.9823
1,	1058.9823
2,	1060.9823
1,	1062.9823
1,	1064.9814
3,	1065.9384
1,	1066.9823
1,	1068.9823
1,	1070.9823
1,	1072.9823
1,	1074.9823
1,	1076.9823
4,	1077.3028
1,	1078.9823
1,	1080.9823
1,	1082.9823
1,	1084.9823
1,	1086.9823
1,	1088.9823
1,	1090.9823
1,	1092.9823
1,	1094.9823
3,	1095.4008
1,	1096.9823
1,	1098.9645
1,	1100.9645
1,	1102.9645
1,	1104.9645
1,	1106.9645
4,	1108.1384
1,	1108.9195
1,	1110.9195
1,	1112.9195
1,	1114.9195
1,	1116.9195
1,	1118.9188
3,	1120.8896
1,	1120.9189
1,	1122.9195
1,	1124.9195
1,	1126.9195
1,	1128.9195
1,	1130.9195
1,	1132.9186
1,	1134.9195
4,	1136.6945
1,	1136.9195
1,	1138.9195
1,	1140.9194
1,	1142.9194
1,	1144.9194
1,	1146.9193
1,	1148.9183
3,	1149.6910
1,	1150.9192
1,	1152.9192
1,	1154.9192
1,	1156.9192
1,	1158.9192
1,	1160.9192
1,	1162.9192
1,	1164.9192
1,	1166.9192
4,	1168.1757
1,	1168.9069
1,	1170.9069
1,	1172.9069
1,	1174.9069
1,	1176.9069
1,	1178.9069
1,	1180.9069
3,	1182.0630
1,	1182.9069
1,	1184.9069
1,	1186.9069
1,	1188.9069
1,	1190.9069
1,	1192.9069
4,	1193.0404
1,	1194.9069
1,	1196.9069
1,	1198.9064
1,	1200.9069
1,	1202.9069
3,	1204.8695
1,	1204.9069
1,	1206.8993
1,	1208.8812
1,	1210.8812
1,	1212.8812
4,	1214.4772
1,	1214.8812
2,	1216.8812
1,	1218.8812
2,	1220.8812
1,	1222.8812
1,	1224.8153
1,	1226.8153
1,	1228.8148
3,	1230.6950
1,	1230.7173
1,	1232.7173
1,	1234.7173
1,	1236.7173
1,	1238.7173
1,	1240.7173
1,	1242.7167
1,	1244.7166
1,	1246.7165
1,	1248.7173
1,	1250.7173
4,	1251.5395
2,	1252.7173
1,	1254.7173
1,	1256.7173
1,	1258.7173
2,	1260.7173
1,	1262.7173
1,	1264.7173
3,	1265.8799
1,	1266.7173
1,	1268.7173
1,	1270.7173
1,	1272.7173
1,	1274.7173
1,	1276.7173
1,	1278.7173
1,	1280.7173
4,	1281.7407
1,	1282.7173
2,	1284.7173
1,	1286.7173
1,	1288.7173
1,	1290.6382
3,	1292.1393
1,	1292.6382
1,	1294.6376
1,	1296.6382
1,	1298.6382
1,	1300.6382
1,	1302.6382
4,	1304.4874
1,	1304.6382
1,	1306.6382
2,	1308.6382
