1,	1.0864
3,	2.0724
1,	3.0864
1,	5.0864
1,	7.0864
4,	7.1807
3,	8.9822
1,	9.0864
1,	11.0864
4,	11.4024
1,	13.0864
3,	13.3301
1,	15.0864
1,	17.0864
4,	18.5289
1,	19.0864
3,	20.4979
1,	21.0864
1,	23.0864
2,	25.0858
4,	25.8605
1,	27.0864
3,	27.5825
1,	29.0859
4,	29.9495
1,	31.0864
3,	32.7216
1,	33.0864
2,	35.0864
4,	36.5795
1,	37.0864
3,	38.9225
1,	39.0864
1,	41.0864
1,	43.0864
4,	43.2127
1,	45.0864
3,	45.2024
1,	47.0864
4,	47.4499
1,	48.8114
3,	49.0250
1,	50.7827
1,	52.7824
4,	53.4678
1,	54.7827
3,	55.4799
1,	56.7827
1,	58.7827
1,	60.7827
4,	60.9511
1,	62.7827
3,	62.8308
1,	64.7827
1,	66.7827
4,	67.1347
1,	68.7827
3,	68.9257
1,	70.7827
4,	72.7357
1,	72.7827
1,	74.7827
3,	75.0636
2,	76.7827
2,	78.7827
1,	80.7827
4,	80.7986
1,	82.7827
3,	82.9801
1,	84.7827
1,	86.7827
2,	88.7827
1,	90.7827
4,	91.1020
1,	92.7827
3,	92.8667
1,	94.7827
4,	96.3197
1,	96.7827
3,	98.3700
2,	98.7818
1,	100.7827
1,	102.7827
4,	103.2499
2,	104.7827
3,	105.2353
1,	106.7827
1,	108.7827
1,	110.7827
4,	111.1309
1,	112.7827
3,	112.9538
1,	114.7827
1,	116.7827
4,	118.2610
1,	118.7827
1,	120.7827
3,	121.4009
2,	122.7376
1,	124.7376
1,	126.7376
4,	127.1924
1,	128.7376
3,	128.9777
1,	130.7376
1,	132.7376
1,	134.7376
4,	135.6624
2,	136.7376
3,	137.6527
1,	138.7376
1,	140.7376
1,	142.7376
4,	144.0239
1,	144.7376
3,	146.4293
1,	146.7376
1,	148.7376
1,	150.7376
1,	152.7376
2,	154.7376
4,	155.6934
1,	156.7376
3,	157.7944
2,	158.6930
1,	160.6930
1,	162.6930
4,	163.4378
1,	164.6930
3,	164.9049
2,	166.6930
4,	167.0299
1,	168.6930
3,	170.4241
1,	170.6930
1,	172.6928
1,	174.6928
4,	176.5884
1,	176.6928
